CD_MUN,SIGLA_UF,NM_MUN,NM_MUN_NORM,lat,long
1507961,PA,Terra Alta,TERRA ALTA,-1.0025930980623123,-47.84829433917065
1507979,PA,Terra Santa,TERRA SANTA,-1.9515034933679904,-56.45842413558797
1508001,PA,Tomé-Açu,TOMEACU,-2.6361258738909705,-48.26762547908974
1508035,PA,Tracuateua,TRACUATEUA,-1.0409665225389118,-46.93897740442958
1508050,PA,Trairão,TRAIRAO,-5.1302251262630065,-56.00346707786233
1508084,PA,Tucumã,TUCUMA,-6.8201962091456725,-51.391385730491294
1508100,PA,Tucuruí,TUCURUI,-3.856279248784035,-49.82113441148198
1508126,PA,Ulianópolis,ULIANOPOLIS,-3.8098398404439933,-47.493609105567046
1508159,PA,Uruará,URUARA,-3.5836161442963963,-53.80733609853155
1508209,PA,Vigia,VIGIA,-0.9334154726478573,-48.10492930019123
1508308,PA,Viseu,VISEU,-1.523162952231456,-46.45303261310192
1508357,PA,Vitória do Xingu,VITORIA DO XINGU,-3.135268237006394,-51.97397424325791
1508407,PA,Xinguara,XINGUARA,-6.917778412704089,-49.63526941268127
1600055,AP,Serra do Navio,SERRA DO NAVIO,1.6517476484828113,-52.26813879766611
1600105,AP,Amapá,AMAPA,1.7467613705106457,-50.59258334776692
1600154,AP,Pedra Branca do Amapari,PEDRA BRANCA DO AMAPARI,1.1576144478105497,-52.51956450283772
1600204,AP,Calçoene,CALCOENE,2.4238439733124264,-51.40664792035268
1600212,AP,Cutias,CUTIAS,1.0355740398506212,-50.487077124712364
1600238,AP,Ferreira Gomes,FERREIRA GOMES,0.9571043297200807,-51.41735136182921
1600253,AP,Itaubal,ITAUBAL,0.5383879792706833,-50.640251073482446
1600279,AP,Laranjal do Jari,LARANJAL DO JARI,1.1013635533568442,-53.310545943119436
1600303,AP,Macapá,MACAPA,0.5627532024952195,-50.69178036166325
1600402,AP,Mazagão,MAZAGAO,-0.06683662406777587,-51.9511933351033
1600501,AP,Oiapoque,OIAPOQUE,3.111807840169292,-51.89869074727469
1600535,AP,Porto Grande,PORTO GRANDE,0.5856284403030857,-51.66998321435297
1600550,AP,Pracuúba,PRACUUBA,1.6258149089198077,-51.27852951539576
1600600,AP,Santana,SANTANA,0.12980646444140073,-51.37836544381693
1600709,AP,Tartarugalzinho,TARTARUGALZINHO,1.2975771019738662,-50.992615555636185
1600808,AP,Vitória do Jari,VITORIA DO JARI,-0.9964423224329968,-52.06117847479419
1700251,TO,Abreulândia,ABREULANDIA,-9.478807702153293,-49.311253146922084
1700301,TO,Aguiarnópolis,AGUIARNOPOLIS,-6.488578774519731,-47.51337205459204
1700350,TO,Aliança do Tocantins,ALIANCA DO TOCANTINS,-11.331182681439921,-48.90829469244605
1700400,TO,Almas,ALMAS,-11.42950523430038,-47.21101897511941
1700707,TO,Alvorada,ALVORADA,-12.407495758166869,-49.11179392867557
1701002,TO,Ananás,ANANAS,-6.2326785342084765,-48.186638348591046
1701051,TO,Angico,ANGICO,-6.435793948882709,-47.91316489019324
1701101,TO,Aparecida do Rio Negro,APARECIDA DO RIO NEGRO,-9.986598001663888,-48.00004030569323
1701309,TO,Aragominas,ARAGOMINAS,-6.945523746672194,-48.63233014766392
